roinum	x	y	z	v1	v2	v3	v4
1	135	86	23	3.243219	0.8265639	1930	1363
1	136	86	23	2.94186	0.8239974	1966	1338
1	137	86	23	2.709454	0.9119192	1935	1307
1	138	86	23	2.611567	1.032294	1976	1414
1	139	86	23	2.604179	1.113013	1914	1519
1	140	86	23	2.659279	1.127419	1891	1503
1	141	86	23	2.770095	1.116408	1911	1534
1	142	86	23	2.868906	1.135118	1954	1556
1	143	86	23	2.863366	1.176926	1969	1464
1	144	86	23	2.759937	1.185619	1990	1480
1	145	86	23	2.681442	1.133545	2030	1444
1	146	86	23	2.756243	1.051667	2085	1422
1	147	86	23	3.007427	0.9985163	2288	1324
1	148	86	23	3.376506	1.021035	2312	1277
1	149	86	23	3.749587	1.134704	2300	1299
1	150	86	23	3.946593	1.300861	2214	1351
1	123	87	23	2.969872	1.040656	1944	942
1	124	87	23	3.064989	0.9881677	1945	1040
1	125	87	23	3.332795	0.9195358	1980	1134
1	126	87	23	3.666167	0.9047993	1945	1173
1	127	87	23	3.899496	0.9409781	1908	1126
1	128	87	23	4.006311	0.9425511	1896	1095
1	133	87	23	3.492247	0.9098495	1929	1325
1	134	87	23	3.358344	0.8519801	1920	1334
1	135	87	23	3.10593	0.7948558	1950	1357
1	136	87	23	2.793798	0.8023896	1960	1292
1	137	87	23	2.608181	0.8739191	1961	1380
1	138	87	23	2.613106	0.9735969	1987	1368
1	139	87	23	2.711301	1.063092	1998	1374
1	140	87	23	2.806111	1.119636	2002	1435
1	141	87	23	2.878141	1.151676	1960	1447
1	142	87	23	2.892301	1.193401	1993	1439
1	143	87	23	2.779946	1.247214	1999	1461
1	144	87	23	2.573089	1.267828	2035	1439
1	145	87	23	2.441957	1.225027	2102	1367
1	146	87	23	2.529994	1.145384	2404	1342
1	147	87	23	2.830736	1.095214	2489	1318
1	148	87	23	3.266613	1.124686	2558	1283
1	149	87	23	3.684328	1.228504	2403	1378
1	123	88	23	2.888607	1.063837	1925	934
1	124	88	23	2.930471	0.9934662	2055	1040
1	125	88	23	3.101928	0.9170521	1917	1126
1	126	88	23	3.382354	0.9230129	1909	1059
1	127	88	23	3.682789	0.9945425	1810	1038
1	128	88	23	3.944746	1.015985	2063	1085
1	129	88	23	4.121744	0.9379977	1816	971
1	132	88	23	3.64031	0.8930433	1938	1344
1	133	88	23	3.367887	0.8961065	1885	1317
1	134	88	23	3.149025	0.8533047	1942	1353
1	135	88	23	2.908	0.8319452	1980	1373
1	136	88	23	2.668822	0.8572785	2025	1288
1	137	88	23	2.556466	0.9007427	2020	1309
1	138	88	23	2.613721	0.9432134	1977	1352
1	139	88	23	2.741776	0.9946253	2012	1383
1	140	88	23	2.82735	1.056634	2001	1417
1	141	88	23	2.842741	1.115166	1974	1449
1	142	88	23	2.80057	1.168813	1997	1427
1	143	88	23	2.662357	1.225606	2024	1417
1	144	88	23	2.449652	1.267497	2002	1392
1	145	88	23	2.301589	1.262364	2088	1338
1	146	88	23	2.362846	1.209545	2449	1320
1	147	88	23	2.661742	1.16517	2405	1301
1	148	88	23	3.130248	1.191083	2471	1332
1	123	89	23	2.751318	1.035854	1912	903
1	124	89	23	2.737774	0.9597712	1972	1105
1	125	89	23	2.803648	0.8931261	1988	1171
1	126	89	23	3.00835	0.9083593	1882	1140
1	127	89	23	3.335258	0.9753355	1871	1123
1	128	89	23	3.724345	0.990817	1792	1037
1	129	89	23	4.069722	0.9324508	1776	1005
1	131	89	23	3.984455	0.9092699	1877	1045
1	132	89	23	3.557505	0.9497537	1923	1354
1	133	89	23	3.144715	0.940233	1908	1403
1	134	89	23	2.870138	0.9040542	1924	1434
1	135	89	23	2.685444	0.9096839	2018	1361
1	136	89	23	2.544461	0.9540587	2043	1370
1	137	89	23	2.494902	0.9754182	2017	1381
1	138	89	23	2.55308	0.9566252	2045	1378
1	139	89	23	2.632191	0.950416	1975	1369
1	140	89	23	2.658356	0.995122	1981	1431
1	141	89	23	2.652199	1.062181	1959	1373
1	142	89	23	2.641118	1.111109	2058	1417
1	143	89	23	2.585402	1.153663	2048	1436
1	144	89	23	2.466582	1.210539	2092	1286
1	145	89	23	2.359152	1.247959	2215	1306
1	146	89	23	2.377314	1.222212	2437	1336
1	147	89	23	2.597715	1.169227	2405	1300
1	123	90	23	2.676209	0.9511611	1909	888
1	124	90	23	2.661742	0.8934573	1941	1036
1	125	90	23	2.6365	0.8561195	2012	1121
1	126	90	23	2.723922	0.8792176	1921	1139
1	127	90	23	3.001578	0.9141545	1946	1153
1	128	90	23	3.447613	0.895941	1779	1030
1	129	90	23	3.904729	0.8519801	1821	1090
1	130	90	23	4.105738	0.8619148	1783	928
1	131	90	23	3.872716	0.9362591	1926	1081
1	132	90	23	3.34911	0.9933834	1987	1448
1	133	90	23	2.861519	0.9816274	1936	1405
1	134	90	23	2.592482	0.9467733	1935	1423
1	135	90	23	2.477972	0.9638278	1973	1431
1	136	90	23	2.412713	1.02029	1949	1431
1	137	90	23	2.402247	1.036516	2015	1446
1	138	90	23	2.438878	0.9867603	1941	1426
1	139	90	23	2.434876	0.942965	2011	1396
1	140	90	23	2.375159	0.9761633	2049	1413
1	141	90	23	2.35238	1.056717	2054	1347
1	142	90	23	2.408712	1.108626	2026	1382
1	143	90	23	2.477356	1.131806	2070	1316
1	144	90	23	2.473354	1.179162	2092	1282
1	145	90	23	2.414253	1.22958	2208	1259
1	146	90	23	2.403786	1.203833	2358	1347
1	147	90	23	2.548155	1.118063	2711	1420
1	124	91	23	2.740852	0.8210998	1952	1111
1	125	91	23	2.668514	0.8194441	1976	1207
1	126	91	23	2.631575	0.8502415	2013	1208
